odid	keyword
10100	visual effects
10100	disaster
10100	cross-class romance
10100	romance
10100	3d re-release
10100	same role, multiple actors
10100	3-d
10100	inspired by a true story
10100	relationships gone wrong
10100	immigration
10100	suicide
10100	love triangle
10100	voiceover/narration
10100	artists
10100	underwater
10100	prologue
10100	non-chronological
10100	treasure hunters
10100	imax: dmr
20100	d.c. comics
20100	film noir
20100	mental illness
20100	visual effects
20100	imax: dmr
20100	posthumous release
60100	visual effects
60100	3d re-release
60100	3-d
60100	delayed sequel
60100	orphan
60100	secret identity
60100	war
60100	royalty
60100	political
60100	fugitive / on the run
60100	invented language
60100	gambling
60100	slavery
60100	organized crime
60100	same actor, multiple roles
60100	sequel with lead character recast
60100	prequel
60100	good vs. evil
60100	robot
60100	fake sports
70100	pirates
70100	visual effects
90100	robot
90100	imax: dmr
140100	visual effects
140100	cloning
140100	animals gone bad
140100	mad scientist
140100	foreign language
140100	animal lead
140100	creature features
140100	academics
140100	3d re-release
160100	faulty memory
160100	underwater
160100	rescue
160100	family movie
160100	3d re-release
160100	talking animals
160100	animal lead
160100	3-d
160100	animals gone bad
160100	scene in end credits
160100	prologue
160100	young child dealing with the death of a parent
160100	death of a spouse or fiancã©e / fiancã©
160100	dysfunctional family
160100	spoiled child
170100	marvel comics
170100	revenge
170100	imax: dmr
190100	coming of age
190100	family movie
190100	breaking the fourth wall
190100	animal lead
190100	talking animals
190100	3d re-release
200100	royalty
200100	talking animals
200100	baby shower
210100	alien invasion
210100	robot
210100	friendly alien on earth
210100	end of the world
210100	imax: dmr
220100	marvel comics
220100	corporate malfeasance
220100	surprise twist
220100	kidnap
220100	terrorism
220100	afghanistan war
220100	scene in end credits
240100	treasure hunters
240100	delayed sequel
240100	archaeology
240100	sequels with returning stars
240100	surprise twist
240100	dysfunctional family
240100	cold war
240100	double agent
240100	psychics
240100	friendly alien on earth
240100	character's journey shown on map
240100	mental illness
240100	dead language
270100	pirates
270100	visual effects
310100	boarding school
310100	3-d
310100	imax: dmr
330100	boarding school
330100	good vs. evil
330100	3-d
330100	imax: dmr
340100	3-d
340100	infertility
340100	widow/widower
340100	romance
340100	prologue
340100	death of a spouse or fiancã©e / fiancã©
340100	animal lead
340100	talking animals
