odid	tag	count
10100	55 movies every kid should see--entertainment weekly	1
10100	70mm	2
10100	action	5
10100	adventure at sea	1
10100	afi 100 (movie quotes)	1
10100	afi 100 (thrills)	1
10100	almost favorite	1
10100	americanised	1
10100	atmospheirc	1
10100	atmospheric	29
10100	bad acting	1
10100	based on a true story	14
10100	based on true story	1
10100	big budget	2
10100	bittersweet	22
10100	buy	1
10100	catastrophe	20
10100	chick flick	15
10100	cinematography	1
10100	class differences	2
10100	classic	1
10100	cliche	1
10100	clv	1
10100	david warner	1
10100	dimensionalized 2-d to 3-d for reissue in 2012	1
10100	disaster	27
10100	distress call	1
10100	drama	23
10100	drama, tragedy	1
10100	elegiac	1
10100	emotional	1
10100	epic	2
10100	favorites	1
10100	flooded sets	1
10100	friends	1
10100	girlie movie	2
10100	good acting	1
10100	good romantic comedies	1
10100	high romance	1
10100	historic disaster	1
10100	historical	21
10100	historically inaccurate	1
10100	history	5
10100	horrible acting	1
10100	iceburg	1
10100	imax dmr 3-d reissue in 2012	1
10100	james cameron	12
10100	kate winslet	23
10100	kathy bates	3
10100	lavish	1
10100	leonardo dicaprio	46
10100	long	1
10100	love	4
10100	love history	1
10100	love is eternal	1
10100	love story	27
10100	melodrama at sea	1
10100	muito drama	1
10100	music	5
10100	my movies	1
10100	natural disaster	2
10100	nostalgic	1
10100	nudity (topless - notable)	11
10100	nudity (topless)	10
10100	ocean	1
10100	oscar (best cinematography)	9
10100	oscar (best directing)	6
10100	oscar (best picture)	22
10100	oscar winner	1
10100	overdone	1
10100	overrated	5
10100	own	2
10100	period piece	1
10100	"powerful ending: one of most powerful and emotional endings that ""sucks out your insides"""	1
10100	predictable	1
10100	realistic	2
10100	romance	68
10100	romantic	2
10100	romantic & good	1
10100	sad ending	2
10100	sea	1
10100	seafaring	1
10100	seen at the cinema	1
10100	seen more than once	2
10100	self-sacrifice	1
10100	sentimental	14
10100	sex	1
10100	shipwreck	9
10100	sinking	1
10100	someone got paid off in order for this to pass as pg-13	1
10100	sos	1
10100	super-35 blow-up	1
10100	survival	8
10100	sweeping	1
10100	tear jerker	2
10100	tearjerking	1
10100	this is the worst movie of all time someone should be hurt	1
10100	time travel	5
10100	titanic	2
10100	too long	2
10100	tragedy	1
10100	tragic drama.	1
10100	true story	25
10100	want to see again	1
10100	was a made up love story. not even close to the truth	1
10100	was not actual 'true story'	1
20100	===========	1
20100	aaron eckhart	4
20100	acting	1
20100	action	57
20100	adaptation	3
20100	adventure	1
20100	animal:dog	1
20100	anti-hero	2
20100	atmospheric	54
20100	authentic	1
20100	based on a comic	16
20100	batman	118
20100	batman (series)	2
20100	batman's voice	1
20100	bd-video	1
20100	bechdel test:fail	1
20100	best villains	1
20100	best villian	1
20100	big budget	2
20100	characters	2
20100	christian bale	93
20100	christopher nolan	39
20100	christopher nolan„Ø‚ºÂíbatman	1
20100	cillian murphy	1
20100	cinematography	1
20100	classic	1
20100	comic book	31
20100	comic book adaption	16
20100	comic movie	1
20100	comics	4
20100	cool	1
20100	corrupt cops	1
20100	corruption	6
20100	criticker top pick	1
20100	dark	77
20100	dark hero	3
20100	dc comics	10
20100	dialogue	1
20100	double life	1
20100	drama	1
20100	dvd	1
20100	dystopia	2
20100	editing	1
20100	ensemble cast	6
20100	epic	1
20100	exciting	1
20100	explosions	2
20100	farcical	1
20100	fast	2
20100	franchise	1
20100	fresher perspective	1
20100	game theory	1
20100	gary oldman	26
20100	glaring holes in movie logic	1
20100	good sequel	1
20100	great characters	1
20100	great villain	3
20100	gritty	19
20100	hans zimmer	2
20100	harsh	3
20100	health ledger	1
