odid	display_name	release_date	release_pattern	distributor	movie_url	production_year	running_time	sequel	opening_weekend_revenue	opening_weekend_theaters	maximum_theaters	theatrical_engagements	domestic_dvd_units	domestic_dvd_spending	domestic_bluray_units	domestic_bluray_spending	creative_type	source	production_method	genre	production_budget	domestic_box_office	international_box_office	inflation_adjusted_domestic_box_	franchise	video_rental_spending	rating	reason	production_company1	production_company2	production_company3	imdbid	movieId	imdb_moviemeter	imdb_rating	imdb_votes
10100	Titanic	2012-04-04	Wide	Paramount Pictures	Titanic	1997	194	0	28638131	2674	3265	87202					Historical Fiction	Original Screenplay	Live Action	Thriller/Suspense	200000000	658672302	1548943366	1147349023			PG-13	for disaster related peril and violence, nudity, sensuality and brief language	20th Century Fox	Paramount Pictures	Lightstorm Entertainment	120338	1721			
20100	The Dark Knight	2008-07-18	Wide	Warner Bros.	Dark-Knight-The	2008	152	1	158411483	4366	4366	39170	19536693	282265125	2608851	33524092	Super Hero	Based on Comic/Graphic Novel	Live Action	Action	185000000	533345358	469546000	626080555	Batman	1253345	PG-13	for intense sequences of violence and some menace.	Legendary Pictures	Warner Bros.	Syncopy	468569	58559	55	8.9	469321
60100	Star Wars Ep. I: The Phantom Menace	2012-02-10	Wide	20th Century Fox	Star-Wars-Ep-I-The-Phantom-Menace	1999	133	1	64810970	2970	3126	47092					Science Fiction	Original Screenplay	Animation/Live Action	Adventure	115000000	474544677	552500000	761329663	Star Wars		PG	for sci-fi action/violence	Lucasfilm	20th Century Fox		120915	2628			
70100	Pirates of the Caribbean: Dead Man's Chest	2006-07-07	Wide	Walt Disney	Pirates-of-the-Caribbean-Dead-Mans-Chest	2006	151	1	135634554	4133	4133	34395	19846571	320862849	152089	2601322	Fantasy	Based on Theme Park Ride	Live Action	Adventure	225000000	423315812	642900000	544817142	Pirates of the Caribbean		PG-13	for intense sequences of adventure violence, including frightening images	Walt Disney Pictures	Jerry Bruckheimer		383574	45722	662	7.3	151211
90100	Transformers: Revenge of the Fallen	2009-06-24	Wide	Paramount Pictures	Transformers-Revenge-of-the-Fallen	2009	149	1	108966307	4234	4293	28686	11092219	221996361	2380972	50083300	Science Fiction	Based on TV	Animation/Live Action	Action	210000000	402111870	434407829	451973742	Transformers	45377770	PG-13	for intense sequences of sci-fi action violence, language, some crude and sexual material, and brief drug material	DreamWorks Pictures	Paramount Pictures	Hasbro	1055369	69526		6	267588
140100	Jurassic Park	2013-04-05	Wide	Universal	Jurassic-Park	1993	126	0	50159460	2404	2778	49159					Science Fiction	Based on Fiction Book/Short Story	Animation/Live Action	Action	63000000	395708305	643104279	760802636	Jurassic Park		PG-13	for intense science fiction terror	Universal Pictures	Amblin Entertainment		107290	480			
160100	Finding Nemo	2012-09-14	Wide	Walt Disney	Finding-Nemo	2003	100	0	70251710	3374	3425	50008					Kids Fiction	Original Screenplay	Digital Animation	Adventure	94000000	380529370	555900000	518148559	Finding Nemo	361183	G		Disney-Pixar	Walt Disney Pictures		266543	6377			
170100	Spider-Man 3	2007-05-04	Wide	Sony Pictures	Spider-Man-3	2007	139	1	151116516	4252	4324	27819	7773659	125012910	42198	715195	Super Hero	Based on Comic/Graphic Novel	Live Action	Adventure	258000000	336530303	554345000	412347448	Spider-Man		PG-13	for sequences of intense action violence	Columbia Pictures	Marvel Studios	Laura Ziskin Productions	413300	52722	581	6.4	142092
190100	The Lion King	2011-09-16	Wide	Walt Disney	Lion-King-The	1994	87	0	1586753	2	2624	59212	3864958	91224660	2925309	87558552	Kids Fiction	Original Screenplay	Hand Animation	Adventure	79300000	422780140	564700000	761640898	The Lion King	79618	G		Walt Disney Pictures			110357	364			
200100	Shrek the Third	2007-05-17	Wide	Paramount Pictures	Shrek-the-Third	2007	92	1	121629270	4122	4172	28052	11980453	176566326	337	9878	Kids Fiction	Based on Fiction Book/Short Story	Digital Animation	Adventure	160000000	322719944	484610992	393333456	Shrek		PG	for some crude humor, suggestive content and swashbuckling action	DreamWorks Animation	PDI		413267	53121	1110	6.1	60108
